Timeframe Name,From (date),To (date),Material name,Material code,Quantity,Unit,Location,Comments
January 2012,01/01/12,31/01/12,water,MF9,84.17,%,Berg River,
February 2012,01/02/12,29/02/12,water,MF9,73.92,%,Berg River,
March 2012,01/03/12,31/03/12,water,MF9,64.59,%,Berg River,
April 2012,01/04/12,30/04/12,water,MF9,59.57,%,Berg River,
May 2012,01/05/12,31/05/12,water,MF9,61.56,%,Berg River,
June 2012,01/06/12,30/06/12,water,MF9,68.52,%,Berg River,
July 2012,01/07/12,31/07/12,water,MF9,88.46,%,Berg River,
August 2012,01/08/12,31/08/12,water,MF9,100.54,%,Berg River,
September 2012,01/09/12,30/09/12,water,MF9,100.61,%,Berg River,
October 2012,01/10/12,31/10/12,water,MF9,100.35,%,Berg River,
November 2012,01/11/12,30/11/12,water,MF9,99.49,%,Berg River,
December 2012,01/12/12,31/12/12,water,MF9,95.0,%,Berg River,
January 2013,01/01/13,31/01/13,water,MF9,86.36,%,Berg River,
February 2013,01/02/13,28/02/13,water,MF9,76.99,%,Berg River,
March 2013,01/03/13,31/03/13,water,MF9,68.57,%,Berg River,
April 2013,01/04/13,30/04/13,water,MF9,68.64,%,Berg River,
May 2013,01/05/13,31/05/13,water,MF9,72.42,%,Berg River,
June 2013,01/06/13,30/06/13,water,MF9,89.28,%,Berg River,
July 2013,01/07/13,31/07/13,water,MF9,99.15,%,Berg River,
August 2013,01/08/13,31/08/13,water,MF9,101.88,%,Berg River,
September 2013,01/09/13,30/09/13,water,MF9,101.32,%,Berg River,
October 2013,01/10/13,31/10/13,water,MF9,100.15,%,Berg River,
November 2013,01/11/13,30/11/13,water,MF9,100.44,%,Berg River,
December 2013,01/12/13,31/12/13,water,MF9,99.14,%,Berg River,
January 2014,01/01/14,31/01/14,water,MF9,99.18,%,Berg River,
February 2014,01/02/14,28/02/14,water,MF9,94.85,%,Berg River,
March 2014,01/03/14,31/03/14,water,MF9,88.47,%,Berg River,
April 2014,01/04/14,30/04/14,water,MF9,89.43,%,Berg River,
May 2014,01/05/14,31/05/14,water,MF9,90.86,%,Berg River,
June 2014,01/06/14,30/06/14,water,MF9,100.95,%,Berg River,
July 2014,01/07/14,31/07/14,water,MF9,100.43,%,Berg River,
August 2014,01/08/14,31/08/14,water,MF9,100.96,%,Berg River,
September 2014,01/09/14,30/09/14,water,MF9,100.18,%,Berg River,
October 2014,01/10/14,31/10/14,water,MF9,99.46,%,Berg River,
