Timeframe Name,From (date),To (date),Material name,Material code,Quantity,Unit,Location,Comments
January 2012,01/01/12,31/01/12,water,MF9,77.33,%,DE VILLIERS,
February 2012,01/02/12,29/02/12,water,MF9,46.79,%,DE VILLIERS,
March 2012,01/03/12,31/03/12,water,MF9,26.38,%,DE VILLIERS,
April 2012,01/04/12,30/04/12,water,MF9,27.2,%,DE VILLIERS,
May 2012,01/05/12,31/05/12,water,MF9,41.36,%,DE VILLIERS,
June 2012,01/06/12,30/06/12,water,MF9,65.87,%,DE VILLIERS,
July 2012,01/07/12,31/07/12,water,MF9,90.68,%,DE VILLIERS,
August 2012,01/08/12,31/08/12,water,MF9,99.43,%,DE VILLIERS,
September 2012,01/09/12,30/09/12,water,MF9,98.56,%,DE VILLIERS,
October 2012,01/10/12,31/10/12,water,MF9,99.08,%,DE VILLIERS,
November 2012,01/11/12,30/11/12,water,MF9,93.37,%,DE VILLIERS,
December 2012,01/12/12,31/12/12,water,MF9,96.92,%,DE VILLIERS,
January 2013,01/01/13,31/01/13,water,MF9,85.59,%,DE VILLIERS,
February 2013,01/02/13,28/02/13,water,MF9,48.65,%,DE VILLIERS,
March 2013,01/03/13,31/03/13,water,MF9,74.58,%,DE VILLIERS,
April 2013,01/04/13,30/04/13,water,MF9,73.34,%,DE VILLIERS,
May 2013,01/05/13,31/05/13,water,MF9,54.24,%,DE VILLIERS,
June 2013,01/06/13,30/06/13,water,MF9,76.62,%,DE VILLIERS,
July 2013,01/07/13,31/07/13,water,MF9,87.68,%,DE VILLIERS,
August 2013,01/08/13,31/08/13,water,MF9,97.69,%,DE VILLIERS,
September 2013,01/09/13,30/09/13,water,MF9,100.27,%,DE VILLIERS,
October 2013,01/10/13,31/10/13,water,MF9,99.54,%,DE VILLIERS,
November 2013,01/11/13,30/11/13,water,MF9,99.91,%,DE VILLIERS,
December 2013,01/12/13,31/12/13,water,MF9,97.65,%,DE VILLIERS,
January 2014,01/01/14,31/01/14,water,MF9,97.13,%,DE VILLIERS,
February 2014,01/02/14,28/02/14,water,MF9,94.73,%,DE VILLIERS,
March 2014,01/03/14,31/03/14,water,MF9,92.69,%,DE VILLIERS,
April 2014,01/04/14,30/04/14,water,MF9,98.47,%,DE VILLIERS,
May 2014,01/05/14,31/05/14,water,MF9,99.26,%,DE VILLIERS,
June 2014,01/06/14,30/06/14,water,MF9,100.49,%,DE VILLIERS,
July 2014,01/07/14,31/07/14,water,MF9,100.25,%,DE VILLIERS,
August 2014,01/08/14,31/08/14,water,MF9,100.11,%,DE VILLIERS,
September 2014,01/09/14,30/09/14,water,MF9,96.25,%,DE VILLIERS,
October 2014,01/10/14,31/10/14,water,MF9,80.73,%,DE VILLIERS,
November 2014,01/11/14,30/11/14,water,MF9,63.91,%,DE VILLIERS,
December 2014,01/12/14,31/12/14,water,MF9,63.32,%,DE VILLIERS,
January 2015,01/01/15,31/01/15,water,MF9,63.36,%,DE VILLIERS,
February 2015,01/02/15,28/02/15,water,MF9,45.1,%,DE VILLIERS,
March 2015,01/03/15,31/03/15,water,MF9,39.15,%,DE VILLIERS,
April 2015,01/04/15,30/04/15,water,MF9,43.71,%,DE VILLIERS,
May 2015,01/05/15,31/05/15,water,MF9,45.35,%,DE VILLIERS,
June 2015,01/06/15,30/06/15,water,MF9,56.45,%,DE VILLIERS,
July 2015,01/07/15,31/07/15,water,MF9,71.32,%,DE VILLIERS,
August 2015,01/08/15,31/08/15,water,MF9,84.63,%,DE VILLIERS,
September 2015,01/09/15,30/09/15,water,MF9,90.88,%,DE VILLIERS,
October 2015,01/10/15,31/10/15,water,MF9,90.15,%,DE VILLIERS,
November 2015,01/11/15,30/11/15,water,MF9,80.54,%,DE VILLIERS,
December 2015,01/12/15,31/12/15,water,MF9,76.12,%,DE VILLIERS,
January 2016,01/01/16,31/01/16,water,MF9,71.85,%,DE VILLIERS,
