Timeframe Name,From (date),To (date),Material name,Material code,Quantity,Unit,Location,Comments
January 2012,01/01/12,31/01/12,water,MF9,83.27,%,HELY-HUTCHINSON,
February 2012,01/02/12,29/02/12,water,MF9,46.15,%,HELY-HUTCHINSON,
March 2012,01/03/12,31/03/12,water,MF9,13.25,%,HELY-HUTCHINSON,
April 2012,01/04/12,30/04/12,water,MF9,0.29,%,HELY-HUTCHINSON,
May 2012,01/05/12,31/05/12,water,MF9,0.0,%,HELY-HUTCHINSON,
June 2012,01/06/12,30/06/12,water,MF9,25.11,%,HELY-HUTCHINSON,
July 2012,01/07/12,31/07/12,water,MF9,88.84,%,HELY-HUTCHINSON,
August 2012,01/08/12,31/08/12,water,MF9,100.58,%,HELY-HUTCHINSON,
September 2012,01/09/12,30/09/12,water,MF9,100.28,%,HELY-HUTCHINSON,
October 2012,01/10/12,31/10/12,water,MF9,100.07,%,HELY-HUTCHINSON,
November 2012,01/11/12,30/11/12,water,MF9,99.52,%,HELY-HUTCHINSON,
December 2012,01/12/12,31/12/12,water,MF9,98.27,%,HELY-HUTCHINSON,
January 2013,01/01/13,31/01/13,water,MF9,95.14,%,HELY-HUTCHINSON,
February 2013,01/02/13,28/02/13,water,MF9,66.97,%,HELY-HUTCHINSON,
March 2013,01/03/13,31/03/13,water,MF9,7.73,%,HELY-HUTCHINSON,
April 2013,01/04/13,30/04/13,water,MF9,10.74,%,HELY-HUTCHINSON,
May 2013,01/05/13,31/05/13,water,MF9,36.31,%,HELY-HUTCHINSON,
June 2013,01/06/13,30/06/13,water,MF9,96.61,%,HELY-HUTCHINSON,
July 2013,01/07/13,31/07/13,water,MF9,100.57,%,HELY-HUTCHINSON,
August 2013,01/08/13,31/08/13,water,MF9,100.83,%,HELY-HUTCHINSON,
September 2013,01/09/13,30/09/13,water,MF9,100.7,%,HELY-HUTCHINSON,
October 2013,01/10/13,31/10/13,water,MF9,99.0,%,HELY-HUTCHINSON,
November 2013,01/11/13,30/11/13,water,MF9,96.52,%,HELY-HUTCHINSON,
December 2013,01/12/13,31/12/13,water,MF9,98.32,%,HELY-HUTCHINSON,
January 2014,01/01/14,31/01/14,water,MF9,98.76,%,HELY-HUTCHINSON,
February 2014,01/02/14,28/02/14,water,MF9,89.59,%,HELY-HUTCHINSON,
March 2014,01/03/14,31/03/14,water,MF9,42.03,%,HELY-HUTCHINSON,
April 2014,01/04/14,30/04/14,water,MF9,34.78,%,HELY-HUTCHINSON,
May 2014,01/05/14,31/05/14,water,MF9,23.3,%,HELY-HUTCHINSON,
June 2014,01/06/14,30/06/14,water,MF9,61.88,%,HELY-HUTCHINSON,
July 2014,01/07/14,31/07/14,water,MF9,99.5,%,HELY-HUTCHINSON,
August 2014,01/08/14,31/08/14,water,MF9,100.47,%,HELY-HUTCHINSON,
September 2014,01/09/14,30/09/14,water,MF9,99.85,%,HELY-HUTCHINSON,
October 2014,01/10/14,31/10/14,water,MF9,81.07,%,HELY-HUTCHINSON,
November 2014,01/11/14,30/11/14,water,MF9,42.05,%,HELY-HUTCHINSON,
December 2014,01/12/14,31/12/14,water,MF9,39.11,%,HELY-HUTCHINSON,
January 2015,01/01/15,31/01/15,water,MF9,43.15,%,HELY-HUTCHINSON,
February 2015,01/02/15,28/02/15,water,MF9,10.45,%,HELY-HUTCHINSON,
March 2015,01/03/15,31/03/15,water,MF9,0.0,%,HELY-HUTCHINSON,
April 2015,01/04/15,30/04/15,water,MF9,0.0,%,HELY-HUTCHINSON,
May 2015,01/05/15,31/05/15,water,MF9,1.07,%,HELY-HUTCHINSON,
June 2015,01/06/15,30/06/15,water,MF9,46.97,%,HELY-HUTCHINSON,
July 2015,01/07/15,31/07/15,water,MF9,85.61,%,HELY-HUTCHINSON,
August 2015,01/08/15,31/08/15,water,MF9,100.3,%,HELY-HUTCHINSON,
September 2015,01/09/15,30/09/15,water,MF9,100.11,%,HELY-HUTCHINSON,
October 2015,01/10/15,31/10/15,water,MF9,99.99,%,HELY-HUTCHINSON,
November 2015,01/11/15,30/11/15,water,MF9,99.9,%,HELY-HUTCHINSON,
December 2015,01/12/15,31/12/15,water,MF9,99.34,%,HELY-HUTCHINSON,
January 2016,01/01/16,31/01/16,water,MF9,95.58,%,HELY-HUTCHINSON,
February 2016,01/02/16,29/02/16,water,MF9,85.96,%,HELY-HUTCHINSON,
March 2016,01/03/16,31/03/16,water,MF9,77.48,%,HELY-HUTCHINSON,
April 2016,01/04/16,30/04/16,water,MF9,66.43,%,HELY-HUTCHINSON,
May 2016,01/05/16,31/05/16,water,MF9,60.33,%,HELY-HUTCHINSON,
June 2016,01/06/16,30/06/16,water,MF9,64.42,%,HELY-HUTCHINSON,
July 2016,01/07/16,31/07/16,water,MF9,99.79,%,HELY-HUTCHINSON,
August 2016,01/08/16,31/08/16,water,MF9,100.29,%,HELY-HUTCHINSON,
September 2016,01/09/16,30/09/16,water,MF9,100.25,%,HELY-HUTCHINSON,
October 2016,01/10/16,31/10/16,water,MF9,99.94,%,HELY-HUTCHINSON,
November 2016,01/11/16,30/11/16,water,MF9,98.21,%,HELY-HUTCHINSON,
December 2016,01/12/16,31/12/16,water,MF9,98.57,%,HELY-HUTCHINSON,
January 2017,01/01/17,31/01/17,water,MF9,97.11,%,HELY-HUTCHINSON,
February 2017,01/02/17,28/02/17,water,MF9,96.75,%,HELY-HUTCHINSON,
March 2017,01/03/17,31/03/17,water,MF9,94.43,%,HELY-HUTCHINSON,
