Timeframe Name,From (date),To (date),Material name,Material code,Quantity,Unit,Location,Comments
January 2012,01/01/12,31/01/12,water,MF9,24.46,%,KLEINPLAATS,
February 2012,01/02/12,29/02/12,water,MF9,21.69,%,KLEINPLAATS,
March 2012,01/03/12,31/03/12,water,MF9,19.77,%,KLEINPLAATS,
April 2012,01/04/12,30/04/12,water,MF9,18.22,%,KLEINPLAATS,
May 2012,01/05/12,31/05/12,water,MF9,19.05,%,KLEINPLAATS,
June 2012,01/06/12,30/06/12,water,MF9,34.67,%,KLEINPLAATS,
July 2012,01/07/12,31/07/12,water,MF9,61.12,%,KLEINPLAATS,
August 2012,01/08/12,31/08/12,water,MF9,91.25,%,KLEINPLAATS,
September 2012,01/09/12,30/09/12,water,MF9,99.64,%,KLEINPLAATS,
October 2012,01/10/12,31/10/12,water,MF9,99.92,%,KLEINPLAATS,
November 2012,01/11/12,30/11/12,water,MF9,97.07,%,KLEINPLAATS,
December 2012,01/12/12,31/12/12,water,MF9,86.96,%,KLEINPLAATS,
January 2013,01/01/13,31/01/13,water,MF9,75.62,%,KLEINPLAATS,
February 2013,01/02/13,28/02/13,water,MF9,62.48,%,KLEINPLAATS,
March 2013,01/03/13,31/03/13,water,MF9,50.58,%,KLEINPLAATS,
April 2013,01/04/13,30/04/13,water,MF9,45.98,%,KLEINPLAATS,
May 2013,01/05/13,31/05/13,water,MF9,44.32,%,KLEINPLAATS,
June 2013,01/06/13,30/06/13,water,MF9,55.9,%,KLEINPLAATS,
July 2013,01/07/13,31/07/13,water,MF9,80.46,%,KLEINPLAATS,
August 2013,01/08/13,31/08/13,water,MF9,99.84,%,KLEINPLAATS,
September 2013,01/09/13,30/09/13,water,MF9,102.17,%,KLEINPLAATS,
October 2013,01/10/13,31/10/13,water,MF9,101.33,%,KLEINPLAATS,
November 2013,01/11/13,30/11/13,water,MF9,97.95,%,KLEINPLAATS,
December 2013,01/12/13,31/12/13,water,MF9,97.34,%,KLEINPLAATS,
January 2014,01/01/14,31/01/14,water,MF9,87.48,%,KLEINPLAATS,
February 2014,01/02/14,28/02/14,water,MF9,73.31,%,KLEINPLAATS,
March 2014,01/03/14,31/03/14,water,MF9,63.37,%,KLEINPLAATS,
April 2014,01/04/14,30/04/14,water,MF9,56.41,%,KLEINPLAATS,
May 2014,01/05/14,31/05/14,water,MF9,51.44,%,KLEINPLAATS,
June 2014,01/06/14,30/06/14,water,MF9,77.85,%,KLEINPLAATS,
