Timeframe Name,From (date),To (date),Material name,Material code,Quantity,Unit,Location,Comments
January 2012,01/01/12,31/01/12,water,MF9,69.49,%,LEWIS GAY,
February 2012,01/02/12,29/02/12,water,MF9,50.2,%,LEWIS GAY,
March 2012,01/03/12,31/03/12,water,MF9,39.23,%,LEWIS GAY,
April 2012,01/04/12,30/04/12,water,MF9,27.24,%,LEWIS GAY,
May 2012,01/05/12,31/05/12,water,MF9,33.6,%,LEWIS GAY,
June 2012,01/06/12,30/06/12,water,MF9,81.21,%,LEWIS GAY,
July 2012,01/07/12,31/07/12,water,MF9,100.67,%,LEWIS GAY,
August 2012,01/08/12,31/08/12,water,MF9,100.51,%,LEWIS GAY,
September 2012,01/09/12,30/09/12,water,MF9,100.8,%,LEWIS GAY,
October 2012,01/10/12,31/10/12,water,MF9,100.9,%,LEWIS GAY,
November 2012,01/11/12,30/11/12,water,MF9,100.9,%,LEWIS GAY,
December 2012,01/12/12,31/12/12,water,MF9,96.89,%,LEWIS GAY,
January 2013,01/01/13,31/01/13,water,MF9,68.2,%,LEWIS GAY,
February 2013,01/02/13,28/02/13,water,MF9,65.47,%,LEWIS GAY,
March 2013,01/03/13,31/03/13,water,MF9,69.55,%,LEWIS GAY,
April 2013,01/04/13,30/04/13,water,MF9,59.05,%,LEWIS GAY,
May 2013,01/05/13,31/05/13,water,MF9,47.17,%,LEWIS GAY,
June 2013,01/06/13,30/06/13,water,MF9,81.97,%,LEWIS GAY,
July 2013,01/07/13,31/07/13,water,MF9,100.9,%,LEWIS GAY,
August 2013,01/08/13,31/08/13,water,MF9,101.04,%,LEWIS GAY,
September 2013,01/09/13,30/09/13,water,MF9,101.13,%,LEWIS GAY,
October 2013,01/10/13,31/10/13,water,MF9,99.27,%,LEWIS GAY,
November 2013,01/11/13,30/11/13,water,MF9,96.64,%,LEWIS GAY,
December 2013,01/12/13,31/12/13,water,MF9,90.69,%,LEWIS GAY,
January 2014,01/01/14,31/01/14,water,MF9,62.19,%,LEWIS GAY,
February 2014,01/02/14,28/02/14,water,MF9,71.31,%,LEWIS GAY,
March 2014,01/03/14,31/03/14,water,MF9,44.35,%,LEWIS GAY,
April 2014,01/04/14,30/04/14,water,MF9,47.4,%,LEWIS GAY,
May 2014,01/05/14,31/05/14,water,MF9,69.79,%,LEWIS GAY,
June 2014,01/06/14,30/06/14,water,MF9,91.02,%,LEWIS GAY,
July 2014,01/07/14,31/07/14,water,MF9,100.9,%,LEWIS GAY,
August 2014,01/08/14,31/08/14,water,MF9,100.9,%,LEWIS GAY,
September 2014,01/09/14,30/09/14,water,MF9,95.63,%,LEWIS GAY,
October 2014,01/10/14,31/10/14,water,MF9,69.05,%,LEWIS GAY,
November 2014,01/11/14,30/11/14,water,MF9,68.39,%,LEWIS GAY,
