Timeframe Name,From (date),To (date),Material name,Material code,Quantity,Unit,Location,Comments
January 2012,01/01/12,31/01/12,water,MF9,66.75,%,STEENBRAS LOWER,
February 2012,01/02/12,29/02/12,water,MF9,58.68,%,STEENBRAS LOWER,
March 2012,01/03/12,31/03/12,water,MF9,49.7,%,STEENBRAS LOWER,
April 2012,01/04/12,30/04/12,water,MF9,43.75,%,STEENBRAS LOWER,
May 2012,01/05/12,31/05/12,water,MF9,44.48,%,STEENBRAS LOWER,
June 2012,01/06/12,30/06/12,water,MF9,50.57,%,STEENBRAS LOWER,
July 2012,01/07/12,31/07/12,water,MF9,73.23,%,STEENBRAS LOWER,
August 2012,01/08/12,31/08/12,water,MF9,98.11,%,STEENBRAS LOWER,
September 2012,01/09/12,30/09/12,water,MF9,98.63,%,STEENBRAS LOWER,
October 2012,01/10/12,31/10/12,water,MF9,99.76,%,STEENBRAS LOWER,
November 2012,01/11/12,30/11/12,water,MF9,92.41,%,STEENBRAS LOWER,
December 2012,01/12/12,31/12/12,water,MF9,80.92,%,STEENBRAS LOWER,
January 2013,01/01/13,31/01/13,water,MF9,70.67,%,STEENBRAS LOWER,
February 2013,01/02/13,28/02/13,water,MF9,60.86,%,STEENBRAS LOWER,
March 2013,01/03/13,31/03/13,water,MF9,52.47,%,STEENBRAS LOWER,
April 2013,01/04/13,30/04/13,water,MF9,45.65,%,STEENBRAS LOWER,
May 2013,01/05/13,31/05/13,water,MF9,48.69,%,STEENBRAS LOWER,
June 2013,01/06/13,30/06/13,water,MF9,68.5,%,STEENBRAS LOWER,
July 2013,01/07/13,31/07/13,water,MF9,81.28,%,STEENBRAS LOWER,
August 2013,01/08/13,31/08/13,water,MF9,97.11,%,STEENBRAS LOWER,
September 2013,01/09/13,30/09/13,water,MF9,100.64,%,STEENBRAS LOWER,
October 2013,01/10/13,31/10/13,water,MF9,97.35,%,STEENBRAS LOWER,
November 2013,01/11/13,30/11/13,water,MF9,98.79,%,STEENBRAS LOWER,
December 2013,01/12/13,31/12/13,water,MF9,90.5,%,STEENBRAS LOWER,
January 2014,01/01/14,31/01/14,water,MF9,81.17,%,STEENBRAS LOWER,
February 2014,01/02/14,28/02/14,water,MF9,71.25,%,STEENBRAS LOWER,
March 2014,01/03/14,31/03/14,water,MF9,59.75,%,STEENBRAS LOWER,
April 2014,01/04/14,30/04/14,water,MF9,50.26,%,STEENBRAS LOWER,
May 2014,01/05/14,31/05/14,water,MF9,40.91,%,STEENBRAS LOWER,
June 2014,01/06/14,30/06/14,water,MF9,60.23,%,STEENBRAS LOWER,
July 2014,01/07/14,31/07/14,water,MF9,87.24,%,STEENBRAS LOWER,
August 2014,01/08/14,31/08/14,water,MF9,100.16,%,STEENBRAS LOWER,
September 2014,01/09/14,30/09/14,water,MF9,97.94,%,STEENBRAS LOWER,
October 2014,01/10/14,31/10/14,water,MF9,91.99,%,STEENBRAS LOWER,
November 2014,01/11/14,30/11/14,water,MF9,81.02,%,STEENBRAS LOWER,
December 2014,01/12/14,31/12/14,water,MF9,69.04,%,STEENBRAS LOWER,
January 2015,01/01/15,31/01/15,water,MF9,57.44,%,STEENBRAS LOWER,
February 2015,01/02/15,28/02/15,water,MF9,52.9,%,STEENBRAS LOWER,
March 2015,01/03/15,31/03/15,water,MF9,48.27,%,STEENBRAS LOWER,
April 2015,01/04/15,30/04/15,water,MF9,52.7,%,STEENBRAS LOWER,
May 2015,01/05/15,31/05/15,water,MF9,48.16,%,STEENBRAS LOWER,
June 2015,01/06/15,30/06/15,water,MF9,52.82,%,STEENBRAS LOWER,
July 2015,01/07/15,31/07/15,water,MF9,59.73,%,STEENBRAS LOWER,
August 2015,01/08/15,31/08/15,water,MF9,87.1,%,STEENBRAS LOWER,
September 2015,01/09/15,30/09/15,water,MF9,90.25,%,STEENBRAS LOWER,
October 2015,01/10/15,31/10/15,water,MF9,85.84,%,STEENBRAS LOWER,
November 2015,01/11/15,30/11/15,water,MF9,77.32,%,STEENBRAS LOWER,
December 2015,01/12/15,31/12/15,water,MF9,67.02,%,STEENBRAS LOWER,
January 2016,01/01/16,31/01/16,water,MF9,54.69,%,STEENBRAS LOWER,
February 2016,01/02/16,29/02/16,water,MF9,45.62,%,STEENBRAS LOWER,
March 2016,01/03/16,31/03/16,water,MF9,46.57,%,STEENBRAS LOWER,
April 2016,01/04/16,30/04/16,water,MF9,39.3,%,STEENBRAS LOWER,
May 2016,01/05/16,31/05/16,water,MF9,37.47,%,STEENBRAS LOWER,
June 2016,01/06/16,30/06/16,water,MF9,34.48,%,STEENBRAS LOWER,
July 2016,01/07/16,31/07/16,water,MF9,44.59,%,STEENBRAS LOWER,
August 2016,01/08/16,31/08/16,water,MF9,64.22,%,STEENBRAS LOWER,
September 2016,01/09/16,30/09/16,water,MF9,69.1,%,STEENBRAS LOWER,
October 2016,01/10/16,31/10/16,water,MF9,63.75,%,STEENBRAS LOWER,
November 2016,01/11/16,30/11/16,water,MF9,54.58,%,STEENBRAS LOWER,
December 2016,01/12/16,31/12/16,water,MF9,44.03,%,STEENBRAS LOWER,
January 2017,01/01/17,31/01/17,water,MF9,39.42,%,STEENBRAS LOWER,
February 2017,01/02/17,28/02/17,water,MF9,41.72,%,STEENBRAS LOWER,
March 2017,01/03/17,31/03/17,water,MF9,33.96,%,STEENBRAS LOWER,
April 2017,01/04/17,30/04/17,water,MF9,32.59,%,STEENBRAS LOWER,
May 2017,01/05/17,31/05/17,water,MF9,26.37,%,STEENBRAS LOWER,
June 2017,01/06/17,30/06/17,water,MF9,28.22,%,STEENBRAS LOWER,
July 2017,01/07/17,31/07/17,water,MF9,29.32,%,STEENBRAS LOWER,
August 2017,01/08/17,31/08/17,water,MF9,30.61,%,STEENBRAS LOWER,
September 2017,01/09/17,30/09/17,water,MF9,45.38,%,STEENBRAS LOWER,
October 2017,01/10/17,31/10/17,water,MF9,47.85,%,STEENBRAS LOWER,
November 2017,01/11/17,30/11/17,water,MF9,54.0,%,STEENBRAS LOWER,
December 2017,01/12/17,31/12/17,water,MF9,53.54,%,STEENBRAS LOWER,
January 2018,01/01/18,31/01/18,water,MF9,47.06,%,STEENBRAS LOWER,
February 2018,01/02/18,28/02/18,water,MF9,40.15,%,STEENBRAS LOWER,
March 2018,01/03/18,31/03/18,water,MF9,38.95,%,STEENBRAS LOWER,
April 2018,01/04/18,30/04/18,water,MF9,38.73,%,STEENBRAS LOWER,
May 2018,01/05/18,31/05/18,water,MF9,35.42,%,STEENBRAS LOWER,
June 2018,01/06/18,30/06/18,water,MF9,42.81,%,STEENBRAS LOWER,
July 2018,01/07/18,31/07/18,water,MF9,56.12,%,STEENBRAS LOWER,
August 2018,01/08/18,31/08/18,water,MF9,65.88,%,STEENBRAS LOWER,
September 2018,01/09/18,30/09/18,water,MF9,88.29,%,STEENBRAS LOWER,
October 2018,01/10/18,31/10/18,water,MF9,90.17,%,STEENBRAS LOWER,
November 2018,01/11/18,30/11/18,water,MF9,82.65,%,STEENBRAS LOWER,
December 2018,01/12/18,31/12/18,water,MF9,73.09,%,STEENBRAS LOWER,
January 2019,01/01/19,31/01/19,water,MF9,63.4,%,STEENBRAS LOWER,
February 2019,01/02/19,28/02/19,water,MF9,55.87,%,STEENBRAS LOWER,
March 2019,01/03/19,31/03/19,water,MF9,50.18,%,STEENBRAS LOWER,
April 2019,01/04/19,30/04/19,water,MF9,43.66,%,STEENBRAS LOWER,
May 2019,01/05/19,31/05/19,water,MF9,39.54,%,STEENBRAS LOWER,
