Timeframe Name,From (date),To (date),Material name,Material code,Quantity,Unit,Location,Comments
January 2012,01/01/12,31/01/12,water,MF9,70.02,%,THEEWATERSKLOOF,
February 2012,01/02/12,29/02/12,water,MF9,61.49,%,THEEWATERSKLOOF,
March 2012,01/03/12,31/03/12,water,MF9,54.64,%,THEEWATERSKLOOF,
April 2012,01/04/12,30/04/12,water,MF9,51.82,%,THEEWATERSKLOOF,
May 2012,01/05/12,31/05/12,water,MF9,51.8,%,THEEWATERSKLOOF,
June 2012,01/06/12,30/06/12,water,MF9,56.14,%,THEEWATERSKLOOF,
July 2012,01/07/12,31/07/12,water,MF9,66.9,%,THEEWATERSKLOOF,
August 2012,01/08/12,31/08/12,water,MF9,83.43,%,THEEWATERSKLOOF,
September 2012,01/09/12,30/09/12,water,MF9,99.37,%,THEEWATERSKLOOF,
October 2012,01/10/12,31/10/12,water,MF9,102.42,%,THEEWATERSKLOOF,
November 2012,01/11/12,30/11/12,water,MF9,99.48,%,THEEWATERSKLOOF,
December 2012,01/12/12,31/12/12,water,MF9,93.07,%,THEEWATERSKLOOF,
January 2013,01/01/13,31/01/13,water,MF9,84.57,%,THEEWATERSKLOOF,
February 2013,01/02/13,28/02/13,water,MF9,76.81,%,THEEWATERSKLOOF,
March 2013,01/03/13,31/03/13,water,MF9,70.79,%,THEEWATERSKLOOF,
April 2013,01/04/13,30/04/13,water,MF9,67.03,%,THEEWATERSKLOOF,
May 2013,01/05/13,31/05/13,water,MF9,65.82,%,THEEWATERSKLOOF,
June 2013,01/06/13,30/06/13,water,MF9,77.81,%,THEEWATERSKLOOF,
July 2013,01/07/13,31/07/13,water,MF9,86.76,%,THEEWATERSKLOOF,
August 2013,01/08/13,31/08/13,water,MF9,101.31,%,THEEWATERSKLOOF,
September 2013,01/09/13,30/09/13,water,MF9,104.6,%,THEEWATERSKLOOF,
October 2013,01/10/13,31/10/13,water,MF9,101.46,%,THEEWATERSKLOOF,
November 2013,01/11/13,30/11/13,water,MF9,102.62,%,THEEWATERSKLOOF,
December 2013,01/12/13,31/12/13,water,MF9,98.26,%,THEEWATERSKLOOF,
January 2014,01/01/14,31/01/14,water,MF9,92.26,%,THEEWATERSKLOOF,
February 2014,01/02/14,28/02/14,water,MF9,85.36,%,THEEWATERSKLOOF,
March 2014,01/03/14,31/03/14,water,MF9,78.79,%,THEEWATERSKLOOF,
April 2014,01/04/14,30/04/14,water,MF9,75.47,%,THEEWATERSKLOOF,
May 2014,01/05/14,31/05/14,water,MF9,74.51,%,THEEWATERSKLOOF,
June 2014,01/06/14,30/06/14,water,MF9,92.26,%,THEEWATERSKLOOF,
July 2014,01/07/14,31/07/14,water,MF9,102.82,%,THEEWATERSKLOOF,
August 2014,01/08/14,31/08/14,water,MF9,103.25,%,THEEWATERSKLOOF,
September 2014,01/09/14,30/09/14,water,MF9,102.28,%,THEEWATERSKLOOF,
October 2014,01/10/14,31/10/14,water,MF9,99.95,%,THEEWATERSKLOOF,
November 2014,01/11/14,30/11/14,water,MF9,95.8,%,THEEWATERSKLOOF,
December 2014,01/12/14,31/12/14,water,MF9,89.51,%,THEEWATERSKLOOF,
January 2015,01/01/15,31/01/15,water,MF9,80.94,%,THEEWATERSKLOOF,
February 2015,01/02/15,28/02/15,water,MF9,72.76,%,THEEWATERSKLOOF,
March 2015,01/03/15,31/03/15,water,MF9,64.1,%,THEEWATERSKLOOF,
April 2015,01/04/15,30/04/15,water,MF9,56.86,%,THEEWATERSKLOOF,
May 2015,01/05/15,31/05/15,water,MF9,51.29,%,THEEWATERSKLOOF,
June 2015,01/06/15,30/06/15,water,MF9,52.86,%,THEEWATERSKLOOF,
July 2015,01/07/15,31/07/15,water,MF9,58.57,%,THEEWATERSKLOOF,
August 2015,01/08/15,31/08/15,water,MF9,71.76,%,THEEWATERSKLOOF,
September 2015,01/09/15,30/09/15,water,MF9,75.84,%,THEEWATERSKLOOF,
October 2015,01/10/15,31/10/15,water,MF9,76.05,%,THEEWATERSKLOOF,
November 2015,01/11/15,30/11/15,water,MF9,71.23,%,THEEWATERSKLOOF,
December 2015,01/12/15,31/12/15,water,MF9,64.01,%,THEEWATERSKLOOF,
January 2016,01/01/16,31/01/16,water,MF9,54.87,%,THEEWATERSKLOOF,
February 2016,01/02/16,29/02/16,water,MF9,45.61,%,THEEWATERSKLOOF,
March 2016,01/03/16,31/03/16,water,MF9,37.53,%,THEEWATERSKLOOF,
April 2016,01/04/16,30/04/16,water,MF9,32.07,%,THEEWATERSKLOOF,
May 2016,01/05/16,31/05/16,water,MF9,31.3,%,THEEWATERSKLOOF,
June 2016,01/06/16,30/06/16,water,MF9,31.53,%,THEEWATERSKLOOF,
July 2016,01/07/16,31/07/16,water,MF9,40.86,%,THEEWATERSKLOOF,
August 2016,01/08/16,31/08/16,water,MF9,50.19,%,THEEWATERSKLOOF,
September 2016,01/09/16,30/09/16,water,MF9,52.92,%,THEEWATERSKLOOF,
October 2016,01/10/16,31/10/16,water,MF9,52.36,%,THEEWATERSKLOOF,
November 2016,01/11/16,30/11/16,water,MF9,48.77,%,THEEWATERSKLOOF,
December 2016,01/12/16,31/12/16,water,MF9,43.42,%,THEEWATERSKLOOF,
January 2017,01/01/17,31/01/17,water,MF9,37.03,%,THEEWATERSKLOOF,
February 2017,01/02/17,28/02/17,water,MF9,30.72,%,THEEWATERSKLOOF,
March 2017,01/03/17,31/03/17,water,MF9,24.64,%,THEEWATERSKLOOF,
April 2017,01/04/17,30/04/17,water,MF9,19.18,%,THEEWATERSKLOOF,
May 2017,01/05/17,31/05/17,water,MF9,14.96,%,THEEWATERSKLOOF,
June 2017,01/06/17,30/06/17,water,MF9,16.22,%,THEEWATERSKLOOF,
July 2017,01/07/17,31/07/17,water,MF9,20.5,%,THEEWATERSKLOOF,
August 2017,01/08/17,31/08/17,water,MF9,24.11,%,THEEWATERSKLOOF,
September 2017,01/09/17,30/09/17,water,MF9,28.14,%,THEEWATERSKLOOF,
October 2017,01/10/17,31/10/17,water,MF9,27.86,%,THEEWATERSKLOOF,
November 2017,01/11/17,30/11/17,water,MF9,25.1,%,THEEWATERSKLOOF,
December 2017,01/12/17,31/12/17,water,MF9,20.59,%,THEEWATERSKLOOF,
January 2018,01/01/18,31/01/18,water,MF9,15.45,%,THEEWATERSKLOOF,
February 2018,01/02/18,28/02/18,water,MF9,11.78,%,THEEWATERSKLOOF,
March 2018,01/03/18,31/03/18,water,MF9,10.78,%,THEEWATERSKLOOF,
April 2018,01/04/18,30/04/18,water,MF9,10.51,%,THEEWATERSKLOOF,
May 2018,01/05/18,31/05/18,water,MF9,12.6,%,THEEWATERSKLOOF,
June 2018,01/06/18,30/06/18,water,MF9,24.92,%,THEEWATERSKLOOF,
July 2018,01/07/18,31/07/18,water,MF9,39.92,%,THEEWATERSKLOOF,
August 2018,01/08/18,31/08/18,water,MF9,44.15,%,THEEWATERSKLOOF,
September 2018,01/09/18,30/09/18,water,MF9,52.95,%,THEEWATERSKLOOF,
October 2018,01/10/18,31/10/18,water,MF9,58.51,%,THEEWATERSKLOOF,
November 2018,01/11/18,30/11/18,water,MF9,56.64,%,THEEWATERSKLOOF,
December 2018,01/12/18,31/12/18,water,MF9,52.94,%,THEEWATERSKLOOF,
January 2019,01/01/19,31/01/19,water,MF9,48.48,%,THEEWATERSKLOOF,
February 2019,01/02/19,28/02/19,water,MF9,44.0,%,THEEWATERSKLOOF,
