Timeframe Name,From (date),To (date),Material name,Material code,Quantity,Unit,Location,Comments
January 2012,01/01/12,31/01/12,water,MF9,0.0,%,Victoria,
February 2012,01/02/12,29/02/12,water,MF9,0.0,%,Victoria,
March 2012,01/03/12,31/03/12,water,MF9,0.0,%,Victoria,
April 2012,01/04/12,30/04/12,water,MF9,0.0,%,Victoria,
May 2012,01/05/12,31/05/12,water,MF9,0.0,%,Victoria,
June 2012,01/06/12,30/06/12,water,MF9,15.27,%,Victoria,
July 2012,01/07/12,31/07/12,water,MF9,66.01,%,Victoria,
August 2012,01/08/12,31/08/12,water,MF9,96.46,%,Victoria,
September 2012,01/09/12,30/09/12,water,MF9,100.98,%,Victoria,
October 2012,01/10/12,31/10/12,water,MF9,100.69,%,Victoria,
November 2012,01/11/12,30/11/12,water,MF9,98.42,%,Victoria,
December 2012,01/12/12,31/12/12,water,MF9,93.25,%,Victoria,
January 2013,01/01/13,31/01/13,water,MF9,85.33,%,Victoria,
February 2013,01/02/13,28/02/13,water,MF9,75.91,%,Victoria,
March 2013,01/03/13,31/03/13,water,MF9,10.64,%,Victoria,
April 2013,01/04/13,30/04/13,water,MF9,0.0,%,Victoria,
May 2013,01/05/13,31/05/13,water,MF9,1.37,%,Victoria,
June 2013,01/06/13,30/06/13,water,MF9,58.5,%,Victoria,
July 2013,01/07/13,31/07/13,water,MF9,90.39,%,Victoria,
August 2013,01/08/13,31/08/13,water,MF9,100.94,%,Victoria,
September 2013,01/09/13,30/09/13,water,MF9,101.08,%,Victoria,
October 2013,01/10/13,31/10/13,water,MF9,100.15,%,Victoria,
November 2013,01/11/13,30/11/13,water,MF9,100.69,%,Victoria,
December 2013,01/12/13,31/12/13,water,MF9,96.97,%,Victoria,
January 2014,01/01/14,31/01/14,water,MF9,92.09,%,Victoria,
February 2014,01/02/14,28/02/14,water,MF9,86.52,%,Victoria,
March 2014,01/03/14,31/03/14,water,MF9,83.36,%,Victoria,
April 2014,01/04/14,30/04/14,water,MF9,98.57,%,Victoria,
May 2014,01/05/14,31/05/14,water,MF9,100.02,%,Victoria,
June 2014,01/06/14,30/06/14,water,MF9,101.46,%,Victoria,
July 2014,01/07/14,31/07/14,water,MF9,101.25,%,Victoria,
August 2014,01/08/14,31/08/14,water,MF9,101.63,%,Victoria,
September 2014,01/09/14,30/09/14,water,MF9,100.49,%,Victoria,
October 2014,01/10/14,31/10/14,water,MF9,98.28,%,Victoria,
November 2014,01/11/14,30/11/14,water,MF9,93.44,%,Victoria,
December 2014,01/12/14,31/12/14,water,MF9,86.88,%,Victoria,
January 2015,01/01/15,31/01/15,water,MF9,83.86,%,Victoria,
February 2015,01/02/15,28/02/15,water,MF9,68.19,%,Victoria,
March 2015,01/03/15,31/03/15,water,MF9,13.29,%,Victoria,
