Timeframe Name,From (date),To (date),Material name,Material code,Quantity,Unit,Location,Comments
January 2012,01/01/12,31/01/12,water,MF9,67.94,%,WOODHEAD,
February 2012,01/02/12,29/02/12,water,MF9,71.89,%,WOODHEAD,
March 2012,01/03/12,31/03/12,water,MF9,67.11,%,WOODHEAD,
April 2012,01/04/12,30/04/12,water,MF9,46.56,%,WOODHEAD,
May 2012,01/05/12,31/05/12,water,MF9,70.78,%,WOODHEAD,
June 2012,01/06/12,30/06/12,water,MF9,73.58,%,WOODHEAD,
July 2012,01/07/12,31/07/12,water,MF9,89.86,%,WOODHEAD,
August 2012,01/08/12,31/08/12,water,MF9,97.65,%,WOODHEAD,
September 2012,01/09/12,30/09/12,water,MF9,89.92,%,WOODHEAD,
October 2012,01/10/12,31/10/12,water,MF9,92.57,%,WOODHEAD,
November 2012,01/11/12,30/11/12,water,MF9,78.75,%,WOODHEAD,
December 2012,01/12/12,31/12/12,water,MF9,80.26,%,WOODHEAD,
January 2013,01/01/13,31/01/13,water,MF9,69.67,%,WOODHEAD,
February 2013,01/02/13,28/02/13,water,MF9,46.27,%,WOODHEAD,
March 2013,01/03/13,31/03/13,water,MF9,64.36,%,WOODHEAD,
April 2013,01/04/13,30/04/13,water,MF9,84.08,%,WOODHEAD,
May 2013,01/05/13,31/05/13,water,MF9,58.99,%,WOODHEAD,
June 2013,01/06/13,30/06/13,water,MF9,55.42,%,WOODHEAD,
July 2013,01/07/13,31/07/13,water,MF9,69.21,%,WOODHEAD,
August 2013,01/08/13,31/08/13,water,MF9,90.58,%,WOODHEAD,
September 2013,01/09/13,30/09/13,water,MF9,98.88,%,WOODHEAD,
October 2013,01/10/13,31/10/13,water,MF9,73.01,%,WOODHEAD,
November 2013,01/11/13,30/11/13,water,MF9,83.93,%,WOODHEAD,
December 2013,01/12/13,31/12/13,water,MF9,87.55,%,WOODHEAD,
January 2014,01/01/14,31/01/14,water,MF9,81.22,%,WOODHEAD,
February 2014,01/02/14,28/02/14,water,MF9,61.01,%,WOODHEAD,
March 2014,01/03/14,31/03/14,water,MF9,63.97,%,WOODHEAD,
April 2014,01/04/14,30/04/14,water,MF9,67.44,%,WOODHEAD,
May 2014,01/05/14,31/05/14,water,MF9,50.71,%,WOODHEAD,
June 2014,01/06/14,30/06/14,water,MF9,59.65,%,WOODHEAD,
July 2014,01/07/14,31/07/14,water,MF9,73.02,%,WOODHEAD,
August 2014,01/08/14,31/08/14,water,MF9,96.02,%,WOODHEAD,
September 2014,01/09/14,30/09/14,water,MF9,81.6,%,WOODHEAD,
October 2014,01/10/14,31/10/14,water,MF9,60.93,%,WOODHEAD,
November 2014,01/11/14,30/11/14,water,MF9,72.15,%,WOODHEAD,
December 2014,01/12/14,31/12/14,water,MF9,70.65,%,WOODHEAD,
January 2015,01/01/15,31/01/15,water,MF9,67.2,%,WOODHEAD,
February 2015,01/02/15,28/02/15,water,MF9,73.97,%,WOODHEAD,
March 2015,01/03/15,31/03/15,water,MF9,53.03,%,WOODHEAD,
April 2015,01/04/15,30/04/15,water,MF9,50.4,%,WOODHEAD,
May 2015,01/05/15,31/05/15,water,MF9,47.54,%,WOODHEAD,
June 2015,01/06/15,30/06/15,water,MF9,59.56,%,WOODHEAD,
July 2015,01/07/15,31/07/15,water,MF9,73.23,%,WOODHEAD,
August 2015,01/08/15,31/08/15,water,MF9,91.02,%,WOODHEAD,
September 2015,01/09/15,30/09/15,water,MF9,78.29,%,WOODHEAD,
October 2015,01/10/15,31/10/15,water,MF9,63.5,%,WOODHEAD,
November 2015,01/11/15,30/11/15,water,MF9,68.35,%,WOODHEAD,
December 2015,01/12/15,31/12/15,water,MF9,67.05,%,WOODHEAD,
January 2016,01/01/16,31/01/16,water,MF9,63.34,%,WOODHEAD,
February 2016,01/02/16,29/02/16,water,MF9,65.15,%,WOODHEAD,
March 2016,01/03/16,31/03/16,water,MF9,71.3,%,WOODHEAD,
April 2016,01/04/16,30/04/16,water,MF9,80.52,%,WOODHEAD,
May 2016,01/05/16,31/05/16,water,MF9,80.09,%,WOODHEAD,
June 2016,01/06/16,30/06/16,water,MF9,82.72,%,WOODHEAD,
July 2016,01/07/16,31/07/16,water,MF9,87.15,%,WOODHEAD,
August 2016,01/08/16,31/08/16,water,MF9,100.12,%,WOODHEAD,
September 2016,01/09/16,30/09/16,water,MF9,100.12,%,WOODHEAD,
October 2016,01/10/16,31/10/16,water,MF9,99.86,%,WOODHEAD,
November 2016,01/11/16,30/11/16,water,MF9,98.91,%,WOODHEAD,
December 2016,01/12/16,31/12/16,water,MF9,99.03,%,WOODHEAD,
January 2017,01/01/17,31/01/17,water,MF9,98.13,%,WOODHEAD,
February 2017,01/02/17,28/02/17,water,MF9,98.2,%,WOODHEAD,
March 2017,01/03/17,31/03/17,water,MF9,95.97,%,WOODHEAD,
April 2017,01/04/17,30/04/17,water,MF9,81.14,%,WOODHEAD,
May 2017,01/05/17,31/05/17,water,MF9,72.32,%,WOODHEAD,
