Timeframe name,From (date),To (date),Material name,Material code,Quantity,Unit,Location,Comments
January 2012,01/01/12,31/01/12,water,MF9,73.71,%,Wemmershoek,
February 2012,01/02/12,29/02/12,water,MF9,67.68,%,Wemmershoek,
March 2012,01/03/12,31/03/12,water,MF9,57.93,%,Wemmershoek,
April 2012,01/04/12,30/04/12,water,MF9,49.47,%,Wemmershoek,
May 2012,01/05/12,31/05/12,water,MF9,47.01,%,Wemmershoek,
June 2012,01/06/12,30/06/12,water,MF9,47.41,%,Wemmershoek,
July 2012,01/07/12,31/07/12,water,MF9,59.19,%,Wemmershoek,
August 2012,01/08/12,31/08/12,water,MF9,81.23,%,Wemmershoek,
September 2012,01/09/12,30/09/12,water,MF9,100.07,%,Wemmershoek,
October 2012,01/10/12,31/10/12,water,MF9,99.26,%,Wemmershoek,
November 2012,01/11/12,30/11/12,water,MF9,96.51,%,Wemmershoek,
December 2012,01/12/12,31/12/12,water,MF9,91.33,%,Wemmershoek,
January 2013,01/01/13,31/01/13,water,MF9,84.25,%,Wemmershoek,
February 2013,01/02/13,28/02/13,water,MF9,77.56,%,Wemmershoek,
March 2013,01/03/13,31/03/13,water,MF9,70.96,%,Wemmershoek,
April 2013,01/04/13,30/04/13,water,MF9,68.32,%,Wemmershoek,
May 2013,01/05/13,31/05/13,water,MF9,66.57,%,Wemmershoek,
June 2013,01/06/13,30/06/13,water,MF9,82.96,%,Wemmershoek,
July 2013,01/07/13,31/07/13,water,MF9,94.87,%,Wemmershoek,
August 2013,01/08/13,31/08/13,water,MF9,99.92,%,Wemmershoek,
September 2013,01/09/13,30/09/13,water,MF9,99.9,%,Wemmershoek,
October 2013,01/10/13,31/10/13,water,MF9,98.31,%,Wemmershoek,
November 2013,01/11/13,30/11/13,water,MF9,97.87,%,Wemmershoek,
December 2013,01/12/13,31/12/13,water,MF9,94.92,%,Wemmershoek,
January 2014,01/01/14,31/01/14,water,MF9,87.15,%,Wemmershoek,
February 2014,01/02/14,28/02/14,water,MF9,79.53,%,Wemmershoek,
March 2014,01/03/14,31/03/14,water,MF9,71.58,%,Wemmershoek,
April 2014,01/04/14,30/04/14,water,MF9,65.47,%,Wemmershoek,
May 2014,01/05/14,31/05/14,water,MF9,58.81,%,Wemmershoek,
June 2014,01/06/14,30/06/14,water,MF9,81.03,%,Wemmershoek,
July 2014,01/07/14,31/07/14,water,MF9,96.36,%,Wemmershoek,
August 2014,01/08/14,31/08/14,water,MF9,99.82,%,Wemmershoek,
September 2014,01/09/14,30/09/14,water,MF9,99.12,%,Wemmershoek,
October 2014,01/10/14,31/10/14,water,MF9,94.18,%,Wemmershoek,
November 2014,01/11/14,30/11/14,water,MF9,85.55,%,Wemmershoek,
December 2014,01/12/14,31/12/14,water,MF9,79.6,%,Wemmershoek,
January 2015,01/01/15,31/01/15,water,MF9,73.47,%,Wemmershoek,
February 2015,01/02/15,28/02/15,water,MF9,67.24,%,Wemmershoek,
March 2015,01/03/15,31/03/15,water,MF9,61.86,%,Wemmershoek,
April 2015,01/04/15,30/04/15,water,MF9,56.09,%,Wemmershoek,
May 2015,01/05/15,31/05/15,water,MF9,50.49,%,Wemmershoek,
June 2015,01/06/15,30/06/15,water,MF9,51.56,%,Wemmershoek,
July 2015,01/07/15,31/07/15,water,MF9,56.12,%,Wemmershoek,
August 2015,01/08/15,31/08/15,water,MF9,70.25,%,Wemmershoek,
September 2015,01/09/15,30/09/15,water,MF9,72.54,%,Wemmershoek,
October 2015,01/10/15,31/10/15,water,MF9,69.01,%,Wemmershoek,
November 2015,01/11/15,30/11/15,water,MF9,65.09,%,Wemmershoek,
December 2015,01/12/15,31/12/15,water,MF9,61.11,%,Wemmershoek,
January 2016,01/01/16,31/01/16,water,MF9,57.46,%,Wemmershoek,
February 2016,01/02/16,29/02/16,water,MF9,54.14,%,Wemmershoek,
March 2016,01/03/16,31/03/16,water,MF9,50.98,%,Wemmershoek,
April 2016,01/04/16,30/04/16,water,MF9,48.88,%,Wemmershoek,
May 2016,01/05/16,31/05/16,water,MF9,47.96,%,Wemmershoek,
June 2016,01/06/16,30/06/16,water,MF9,46.66,%,Wemmershoek,
July 2016,01/07/16,31/07/16,water,MF9,59.59,%,Wemmershoek,
August 2016,01/08/16,31/08/16,water,MF9,69.14,%,Wemmershoek,
September 2016,01/09/16,30/09/16,water,MF9,70.01,%,Wemmershoek,
October 2016,01/10/16,31/10/16,water,MF9,66.0,%,Wemmershoek,
November 2016,01/11/16,30/11/16,water,MF9,57.0,%,Wemmershoek,
December 2016,01/12/16,31/12/16,water,MF9,47.11,%,Wemmershoek,
January 2017,01/01/17,31/01/17,water,MF9,38.05,%,Wemmershoek,
February 2017,01/02/17,28/02/17,water,MF9,36.37,%,Wemmershoek,
March 2017,01/03/17,31/03/17,water,MF9,35.99,%,Wemmershoek,
April 2017,01/04/17,30/04/17,water,MF9,35.93,%,Wemmershoek,
